lugt;prix;monture;vocvalorisat;palaisete;datation;biblio;vocasiatique;pedigree;chine;japon;inconnu;porcelaine;bronze;cloisonne;estampe;laque;ancien;nbcaracteres;annee
23338;16;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;111;1857
23338;31;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;69;1857
23338;32;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;82;1857
23338;33;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;46;1857
23338;34;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;65;1857
23338;35;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;66;1857
23338;37;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;44;1857
23338;38;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;85;1857
23338;44;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;11;1857
23338;46;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;84;1857
23338;46;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;57;1857
23338;47;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;75;1857
23338;47;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;91;1857
23338;51;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;48;1857
23338;58;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;118;1857
23338;58;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;67;1857
23338;59;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;100;1857
23338;61;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;24;1857
23338;62;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;45;1857
23338;63;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;90;1857
23338;68;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;92;1857
23338;70;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;84;1857
23338;70;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;58;1857
23338;71;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;74;1857
23338;71;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;52;1857
23338;72;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;78;1857
23338;76;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;75;1857
23338;76;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;75;1857
23338;79;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;57;1857
23338;80;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;85;1857
23338;81;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;24;1857
23338;82;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;74;1857
23338;88;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;110;1857
23338;99;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;123;1857
23338;100;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;62;1857
23338;100;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;76;1857
23338;100;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;107;1857
23338;100;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;103;1857
23338;100;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;76;1857
23338;101;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;165;1857
23338;102;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;46;1857
23338;102;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;62;1857
23338;102;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;74;1857
23338;103;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;10;1857
23338;104;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;34;1857
23338;104;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;85;1857
23338;104;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;44;1857
23338;104;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;62;1857
23338;105;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;194;1857
23338;105;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;35;1857
23338;105;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;52;1857
23338;106;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;81;1857
23338;107;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;62;1857
23338;107;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;29;1857
23338;108;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;107;1857
23338;109;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;70;1857
23338;110;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;67;1857
23338;110;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;49;1857
23338;110;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;83;1857
23338;110;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;109;1857
23338;110;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;72;1857
23338;110;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;66;1857
23338;112;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;72;1857
23338;115;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;102;1857
23338;115;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;48;1857
23338;115;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;90;1857
23338;120;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;84;1857
23338;125;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;76;1857
23338;126;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;57;1857
23338;127;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;43;1857
