identifiant;titre
2069;Paysage. Dommois
2070;Paysage. Dommois
2071;Nature morte
2072;Le braconnier
2073;Paysage d'hiver
5372;Premier feuillet de Qoran (en enluminure genre classique)
5373;Tounsia (miniature et enlum.)
5374;Porteur des Halles tunisiens miniature enluminure
5375;Miniature pour illustration d'un conte arabe
5376;Le mendiant (M. et enl.)
5377;L'oasis (laque à l'huile de Chine)
5378;La source (laque à l'huile de Chine)
5379;Causerie dans un jardin (miniature enlum.)
5380;Attelage arabe
5381;Symphonie en leu, blanc, rouge
5382;Sfax
5383;La rue du cou du chameau à Tunis
5384;La rue de Rome à Tunis
5385;Place Bab Souika
5386;Paysage (Tunisie Centrale)
805;Vers le soir, à Vallières
806;Rochers, près Royan
807;Maisons à Saint-Macaire
808;Le Ciron, à Pujols
809;Rochers, à Biarritz
4098;Chêne et Peupliers
4099;Château à Sadirat
4100;Temps gris à Biarritz
4101;Marine
4734;Rochers à St-Palais-sur-Mer
4735;Ruisseau à La Brède
4736;Rochers à Royan
4737;Matinée à la Bénauge
4738;Le soir à St-Palais
4739;Après-midi à Gujan
4740;Vieux pin et villa moderne au Moulleau
4741;Pinasses le soir
5366;A La Hume
5367;Meules de foin
5368;Pins à La Hume
5369;A Gujan
5370;Sur la dune au Pilat
5371;Clochre de Bouliac
5956;Matinée à Gujan
5957;Sous-bois à La Tresne
5958;Pinasses le soir
5959;Pommes et fleurs
6484;Barques à Andernos
6485;Fleurs au vase bleu
6486;Pommes
6487;Carrière, à La Souys
6488;Chemin en automne, à Bouliac
6489;Sur la côte, à La Tresne
6490;Matinée à Esconac
6491;Effet de brouillard
7782;En été à La Tresne
4102;Fleurs Hortensias
4103;Fleurs Chrysanthèmes
4104;Valdeosa (Iles Baléares)
4105;Tolède (Calle San Paulo)
4106;Palma de Mallorca (Caille de la Almudaina)
2057;Quai aux fleurs
2058;Marché de la Madeleine
2059;Conciergerie
2060;Pont du Châtelet
2061;Parvis Notre-Dame
2062;Sacré-Cœur
2063;Madeleine
2064;Sacré-Cœur
2065;Marchande de fleurs
2066;Conciergerie
2067;Plaque Clichy
2068;Marchande de fleurs
7783;Paysage d'automne
2024;Adleen
6996;Grandes eaux à Versailles
6997;Dans la baie de Théoule
6998;Saint-Honorat
6999;En croisière
7000;Michel Alaux
7482;Brisants à la Grande Côte
7483;Le Port de Bastia
7484;Régates à Cannes
7485;A bord de la Diligente à Calvi
7486;Le Capucin à la Ciotat
7001;Lagon calme à Tahiti
7002;Flamboyant à Raïatea
7003;Couronnes de fleurs à l'arrivée du bateau
7004;Papotages à Papeete
7005;Le Jugement de Pâris, vu de Tahiti
7006;Dans l'atoll de Fakarave
7007;La dent verte de Moorea
7008;Coucher du récif de Moorea
7009;Poisson du récif de corail
7010;Vahine lisant dans sa case
7011;Bougainville à Tahiti
7012;Dans le costume de Raharu
7487;Trois aquarelles sur Tahiti et les Iles
1;Paysage Périgourdin
2;Christ
3;Figure
4;Flagellation
810;Village Périgourdin : Aillac
811;"Paysages du Sarvaladais ; hiver"
812;Ferme en Périgord
813;Paysage du Périgord
814;Rue à Sarlat
815;Scène du marché aux noix. Intérieur Périgourdin, Le Braconnier
1346;Les toits de Sarlat (H.)
1347;Nature morte à l'image d'Epinal
1348;Paysage du Périgord (A.)
1349;Paysage du Périgord (A.)
1350;Paysage du Périgord (A.)
5964;Tentation de saint Antoine
5965;Les 1ers hommes dans la lune
5966;Paysage du Var
6492;Femmes-Lys
6493;Paysage Baussenque
6494;Paysage du Var
8377;Médisance
3385;Figure
3386;Nature morte
8122;Le Relais du Pont de Langon
8123;Le bord du ruisseau
8124;Les baraques de pêcheurs
8125;Eglise Saint-Germain-des-Prés
8126;Le Panthéon
8127;Saint-Séverin
8128;Sainte-Geneviève
5;Bibelots
6;Matinée de printemps
7;Fleurs
8;Fleurs
1351;Les fruits
1352;Le châle rouge
1353;Coin de rade, le soir
1354;Le parc
1355;Setter
1356;Cocker
1357;Fleurs
2074;Le cloître (Claustros dos Jeronimos, Lisboa)
2075;Soir calme. Gironde
2076;Ruines de Miglos
2077;Tête
2078;Camélias
2079;Fleurs
2080;Marine
2081;Baigneuses
2082;Baigneuses
2696;Le repos du modèle
2697;Marine
2698;Sous-bois
2699;Roses
2700;Tête
3387;Dahlias
3388;Chrysanthèmes
3389;Sevillana
3390;Marine
3391;Paysage
3392;Marine
3393;Roses
4107;La soupière bleue
4108;Nature morte
4109;Nu
4110;Tête de femme
4111;Paysage
4112;Marine
3394;Bordeaux
3395;Lormont
3396;Les Bassins
3397;Paris
3398;Le Havre
4742;"""Place des Vosges"", Paris"
4743;Cherbourg
4744;L'enfant malade
4745;Ganache
3362;Les Abredons
3363;Montalivet
3399;La Mare
3400;Matinée de septembre
7013;Versailles. Eté
7014;Versailles. Automne
7015;A Hendaye
7016;Eglise de Martigues
7017;A Martigues
